idx,ts,truth_ts,obs_target_yaw_deg,obs_gimbal_yaw_deg,obs_err_yaw_deg,truth_target_yaw_deg,truth_gimbal_yaw_deg,truth_err_yaw_deg,target_yaw_rate_dps,gimbal_yaw_rate_dps,detected,u_px,cx_px,f_px,yaw_rate_cmd_dps
0,1.5149999999999897,1.5149999999999897,-7.858362277953262,0.0,-7.858362277953262,-7.8589620073563236,0.0,-7.858962007356325,0.5502977861106128,0.0,1,99.16666666666667,320.0,1600.0,-60.0
1,1.5549999999999888,1.5549999999999888,-7.831997044757173,-0.12244897959183676,-7.709548065165336,-7.836822410987826,-0.12244897959183676,-7.714373431395984,0.5559794614949863,-15.918367346938778,1,103.4,320.0,1600.0,-60.0
2,1.594999999999988,1.594999999999988,-7.8125062094320015,-1.4644538819397588,-6.3480523274922405,-7.814455513230237,-1.4644538819397588,-6.350001631290468,0.5616627818382725,-39.210380836560816,1,142.0,320.0,1600.0,-60.0
3,1.6349999999999871,1.6349999999999871,-7.788740298875524,-3.090303408869074,-4.698436890006462,-7.791861248105236,-3.090303408869074,-4.701557839236159,0.5673477555397836,-41.434614534640865,1,188.5,320.0,1600.0,-60.0
4,1.6749999999999863,1.6749999999999863,-7.767616162565957,-4.780202810722703,-2.9874133518432586,-7.7690395493037645,-4.780202810722703,-2.988836738581057,0.5730343907429483,-42.855444722546814,1,236.5,320.0,1600.0,-60.0
5,1.7149999999999854,1.7149999999999854,-7.751513522168665,-6.52393469003411,-1.2275788321345544,-7.74599035019632,-6.52393469003411,-1.222055660162198,0.5787226953323973,-44.15210720046502,1,285.7142857142857,320.0,1600.0,19.154223367614357
6,1.7549999999999846,1.7549999999999846,-7.721288317656615,-8.100867303676136,0.37957898601951,-7.722713583843366,-8.100867303676136,0.3781537198327669,0.5844126769310433,-17.220885952845308,1,330.6,320.0,1600.0,60.0
7,1.7949999999999837,1.7949999999999837,-7.695998412476882,-7.964570411875918,0.268571999399029,-7.699209183005868,-7.964570411875918,0.26536122887006286,0.5901043428971502,19.011491113883814,1,327.5,320.0,1600.0,60.0
8,1.8349999999999829,1.8349999999999829,-7.676076716279965,-6.751068983422993,-0.925007732856983,-7.675477080155922,-6.751068983422993,-0.9244080967329182,0.5957977003213949,33.63066855831233,1,294.1666666666667,320.0,1600.0,60.0
9,1.874999999999982,1.874999999999982,-7.640997109427502,-5.350387066788982,-2.2906100426385194,-7.651517207487542,-5.350387066788982,-2.3011301406985467,0.6014927560239198,35.92801172925727,1,256.0,320.0,1600.0,60.0
10,1.9149999999999812,1.9149999999999812,-7.626234070440944,-3.8715823423214477,-3.7546517281194838,-7.627329496927524,-3.8715823423214477,-3.7557471546060697,0.607189516551377,37.75597341734965,1,215.0,320.0,1600.0,28.22462471792339
11,1.9549999999999803,1.9549999999999803,-7.5987308967986,-2.420446192500468,-5.178284704298136,-7.6029138801464535,-2.420446192500468,-5.182467687645982,0.6128879881739634,27.33776117059318,1,175.0,320.0,1600.0,-26.848888228752294
12,1.9949999999999795,1.9949999999999795,-7.579833194768838,-1.7215480105339227,-5.858285184234916,-7.578270288569821,-1.7215480105339227,-5.856722278035903,0.6185881768824478,0.12323102609606362,1,155.83333333333334,320.0,1600.0,-60.0
13,2.034999999999979,2.034999999999979,-7.560595841158687,-2.2970791184580204,-5.263516722700672,-7.55339865338927,-2.2970791184580204,-5.256319534931237,0.6242900883851887,-26.6414998218155,1,172.6,320.0,1600.0,-60.0
14,2.074999999999978,2.074999999999978,-7.532158554077171,-3.724025662759416,-3.8081328913177686,-7.528298905573937,-3.724025662759416,-3.8042732428145314,0.6299937281051448,-38.315804022906924,1,213.5,320.0,1600.0,-60.0
15,2.114999999999977,2.114999999999977,-7.503201845940907,-5.301978953416544,-2.201222892524356,-7.502970975881945,-5.301978953416544,-2.200992022465414,0.635699101176875,-40.19650331512675,1,258.5,320.0,1600.0,-60.0
16,2.1549999999999763,2.1549999999999763,-7.475288709349684,-6.944124303999907,-0.5311644053497844,-7.477414794871993,-6.944124303999907,-0.5332904908720764,0.6414062124435324,-41.70010128516434,1,305.1666666666667,320.0,1600.0,-60.0
17,2.1949999999999754,2.1949999999999754,-7.456097159553593,-8.643620849539037,1.1875236899854542,-7.4516302929150795,-8.643620849539037,1.1919905566239493,0.6471150664538473,-43.0838274187977,1,353.1666666666667,320.0,1600.0,-25.42555191150497
18,2.2349999999999746,2.2349999999999746,-7.427713522947499,-10.290118749059236,2.862405226111747,-7.425617400206329,-10.290118749059236,2.8645013488529116,0.6528256674591043,-31.19670077906922,1,400.0,320.0,1600.0,18.760873415844713
19,2.2749999999999737,2.2749999999999737,-7.392366361601205,-11.132755335695897,3.740388974094685,-7.399376046776973,-11.132755335695897,3.7333792889189112,0.658538019410109,-6.10716086448498,1,424.6,320.0,1600.0,60.0
20,2.314999999999973,2.314999999999973,-7.366232707062011,-10.889058188212047,3.5228254811500506,-7.372906162506407,-10.889058188212047,3.516152025705651,0.6642521259541478,19.805160283694264,1,418.5,320.0,1600.0,60.0
21,2.354999999999972,2.354999999999972,-7.34201720476284,-9.650503352698447,2.3084861479356107,-7.346207677134414,-9.650503352698447,2.3042956755640205,0.6699679904319386,34.20387625957815,1,384.5,320.0,1600.0,60.0
22,2.394999999999971,2.394999999999971,-7.314945660813606,-8.228019843902683,0.9130741830890656,-7.319280520273475,-8.228019843902683,0.90873932362922,0.6756856158745735,36.45365227088113,1,345.5,320.0,1600.0,60.0
23,2.4349999999999703,2.4349999999999703,-7.2841331224776695,-6.729097620937173,-0.5550355015404875,-7.292124621421231,-6.729097620937173,-0.5630270004840554,0.6814050050004548,38.24176154997035,1,304.5,320.0,1600.0,60.0
24,2.4749999999999694,2.4749999999999694,-7.259503274891131,-5.161982879713161,-2.0975203951779804,-7.264739909973038,-5.161982879713161,-2.1027570302598804,0.68712616021222,39.88699488558813,1,261.4,320.0,1600.0,60.0
25,2.5149999999999686,2.5149999999999686,-7.233060344603388,-3.531896332550618,-3.7011640120527716,-7.237126315234671,-3.531896332550618,-3.7052299826840454,0.692849083593662,41.407638207668136,1,216.5,320.0,1600.0,33.043224189960455
26,2.5549999999999677,2.5549999999999677,-7.211037048627247,-1.9262159561182444,-5.284821092508992,-7.2092837664351395,-1.9262159561182444,-5.283067810316908,0.6985737769066399,32.54807189422498,1,172.0,320.0,1600.0,-6.580363683076809
27,2.594999999999967,2.594999999999967,-7.183516406580992,-0.9474998817001593,-6.236016524880824,-7.181212192739628,-0.9474998817001593,-6.233712311039483,0.7043002415879809,11.39430555513735,1,145.16666666666666,320.0,1600.0,-46.9893369711606
28,2.634999999999966,2.634999999999966,-7.1487425589162115,-0.9422171344926533,-6.206525424423546,-7.152911523262556,-0.9422171344926533,-6.210694388769895,0.7100284787463772,-13.909720447103176,1,146.0,320.0,1600.0,-60.0
29,2.674999999999965,2.674999999999965,-7.121018883461687,-1.9249756008290648,-5.1960432826326155,-7.124381687080774,-1.9249756008290648,-5.199406086251713,0.7157584891592728,-31.291114615884034,1,174.5,320.0,1600.0,-60.0
30,2.7149999999999643,2.7149999999999643,-7.093095498715314,-3.3325010938481308,-3.7605944048671915,-7.095622613246875,-3.3325010938481308,-3.7631215193987373,0.7214902732697444,-36.66862594173236,1,214.83333333333334,320.0,1600.0,-60.0
31,2.7549999999999635,2.7549999999999635,-7.061298585401005,-4.842197391252141,-2.2191011941488625,-7.066634230802627,-4.842197391252141,-2.224436839550492,0.7272238311833735,-38.51713033654839,1,258.0,320.0,1600.0,-60.0
32,2.7949999999999626,2.7949999999999626,-7.042987214874444,-6.419920174366072,-0.6230670405083742,-7.03741646879255,-6.419920174366072,-0.6174962944264735,0.7329591626651124,-40.14356509893766,1,302.6,320.0,1600.0,-60.0
33,2.8349999999999618,2.8349999999999618,-7.0035585868263865,-8.059829842334949,1.0562712555085625,-7.007969256277593,-8.059829842334949,1.0518605860573587,0.7386962671361421,-41.64486377276158,1,349.5,320.0,1600.0,-60.0
34,2.874999999999961,2.874999999999961,-6.984109476774506,-9.757206413414245,2.773096936639746,-6.978292522348954,-9.757206413414245,2.7789138910652866,0.7444351436707239,-43.03259999714371,1,397.5,320.0,1600.0,-26.23228090507429
35,2.91499999999996,2.91499999999996,-6.954853302101583,-11.404215621172881,4.449362319071298,-6.948386196142023,-11.404215621172881,4.455829425030856,0.7501757909930428,-31.45654729408678,1,444.5,320.0,1600.0,14.408086133625496
36,2.954999999999959,2.954999999999959,-6.913377308457143,-12.275118605552874,5.361741297095733,-6.9182502068504474,-12.275118605552874,5.3568683987024315,0.7559182074740445,-7.941330834077877,1,470.1666666666667,320.0,1600.0,55.10230236207729
37,2.9949999999999584,2.9949999999999584,-6.8952874136394655,-12.130396040337823,5.235108626698349,-6.887884483740328,-12.130396040337823,5.242511556597492,0.7616623911282667,17.649242906549503,1,466.6,320.0,1600.0,60.0
38,3.0349999999999575,3.0349999999999575,-6.859079982869076,-10.999831660787102,4.1407516779180185,-6.85728895616454,-10.999831660787102,4.142542704622571,0.7674083396106626,32.74058785185723,1,435.8333333333333,320.0,1600.0,60.0
39,3.0749999999999567,3.0749999999999567,-6.8207232288536375,-9.59739275890488,2.7766695300512367,-6.82646355357718,-9.59739275890488,2.7709292053276897,0.7731560502134177,36.18427915814925,1,397.6,320.0,1600.0,60.0
40,3.114999999999956,3.114999999999956,-6.793330921138136,-8.107833753411418,1.3145028322732912,-6.795408205548145,-8.107833753411418,1.3124255478632847,0.778905519862761,38.02131190629352,1,356.7142857142857,320.0,1600.0,60.0
41,3.154999999999955,3.154999999999955,-6.763990859767034,-6.549132693736844,-0.21485816603018293,-6.76412284177783,-6.549132693736844,-0.21499014804098238,0.7846567451157694,39.68396510942557,1,314.0,320.0,1600.0,60.0
42,3.194999999999954,3.194999999999954,-6.7226904207295775,-4.926817344271043,-1.7958730764585482,-6.732607392111969,-4.926817344271043,-1.8057900478409294,0.7904097221571669,41.21997828434992,1,269.8333333333333,320.0,1600.0,60.0
43,3.2349999999999532,3.2349999999999532,-6.704821562560568,-3.2457051612019434,-3.4591164013586138,-6.700861786556588,-3.2457051612019434,-3.455156625354647,0.7961644467961168,42.63983697006402,1,223.28571428571428,320.0,1600.0,36.50731434523316
44,3.2749999999999524,3.2749999999999524,-6.671717373233605,-1.58224045938371,-5.089476913849893,-6.668885955293093,-1.58224045938371,-5.08664549590938,0.8019209144630076,35.00624840747721,1,177.5,320.0,1600.0,-3.4775230507459756
45,3.3149999999999515,3.3149999999999515,-6.631968657083263,-0.4785355241999446,-6.153433132883322,-6.636679828693487,-0.4785355241999446,-6.158144304493533,0.8076791202062363,14.575159660738347,1,147.5,320.0,1600.0,-45.14908154124534
46,3.3549999999999507,3.3549999999999507,-6.605298058249531,-0.35327346694938955,-6.252024591300142,-6.604243337335723,-0.35327346694938955,-6.250969870386342,0.8134390586889827,-11.370682032734624,1,144.71428571428572,320.0,1600.0,-60.0
47,3.39499999999995,3.39499999999995,-6.568256017649929,-1.247930901408114,-5.320325116241804,-6.571576412019171,-1.247930901408114,-5.323645510611044,0.8192007241859802,-29.705006156583302,1,171.0,320.0,1600.0,-60.0
48,3.434999999999949,3.434999999999949,-6.541644317500754,-2.6087480452702168,-3.9328962722305505,-6.53867898378022,-2.6087480452702168,-3.9299309385100116,0.824964110580281,-35.62428110877614,1,210.0,320.0,1600.0,-60.0
49,3.474999999999948,3.474999999999948,-6.512442807997417,-4.078836707277298,-2.4336061007201124,-6.505550983908021,-4.078836707277298,-2.426714276630719,0.8307292113600173,-37.562863627189,1,252.0,320.0,1600.0,-60.0
50,3.5149999999999473,3.5149999999999473,-6.465091941387499,-5.620040473851085,-0.8450514675364218,-6.472192343960342,-5.620040473851085,-0.8521518701092532,0.8364960196151566,-39.26173860907455,1,296.4,320.0,1600.0,-60.0
51,3.5549999999999464,3.5549999999999464,-6.438427290273694,-7.226194615327997,0.7877673250542898,-6.438602995779564,-7.226194615327997,0.7875916195484365,0.8422645280342527,-40.82971524373585,1,342.0,320.0,1600.0,-60.0
52,3.5949999999999456,3.5949999999999456,-6.405145903413654,-8.892367801959226,2.4872218985455845,-6.4047828715088055,-8.892367801959226,2.4875849304504243,0.8480347289011929,-42.27908073662657,1,389.5,320.0,1600.0,-46.58858082839854
53,3.6349999999999447,3.6349999999999447,-6.37636202088774,-10.572919356381414,4.196557335493679,-6.370731903608173,-10.572919356381414,4.202187452773245,0.8538066140919407,-38.51174935286623,1,437.4,320.0,1600.0,-7.677187869163186
