idx,ts,truth_ts,obs_target_yaw_deg,obs_gimbal_yaw_deg,obs_err_yaw_deg,truth_target_yaw_deg,truth_gimbal_yaw_deg,truth_err_yaw_deg,target_yaw_rate_dps,gimbal_yaw_rate_dps,detected,u_px,cx_px,f_px,yaw_rate_cmd_dps
0,1.5149999999999897,1.5149999999999897,-7.858362277953262,0.0,-7.858362277953262,-7.8589620073563236,0.0,-7.858962007356325,0.5502977861106128,0.0,1,99.16666666666667,320.0,1600.0,-60.0
1,1.5549999999999888,1.5549999999999888,-7.831997044757173,-0.12244897959183676,-7.709548065165336,-7.836822410987826,-0.12244897959183676,-7.714373431395984,0.5559794614949863,-15.918367346938778,1,103.4,320.0,1600.0,-60.0
2,1.594999999999988,1.594999999999988,-7.8125062094320015,-1.4644538819397588,-6.3480523274922405,-7.814455513230237,-1.4644538819397588,-6.350001631290468,0.5616627818382725,-39.210380836560816,1,142.0,320.0,1600.0,-60.0
3,1.6349999999999871,1.6349999999999871,-7.788740298875524,-3.090303408869074,-4.698436890006462,-7.791861248105236,-3.090303408869074,-4.701557839236159,0.5673477555397836,-41.434614534640865,1,188.5,320.0,1600.0,-60.0
4,1.6749999999999863,1.6749999999999863,-7.767616162565957,-4.780202810722703,-2.9874133518432586,-7.7690395493037645,-4.780202810722703,-2.988836738581057,0.5730343907429483,-42.855444722546814,1,236.5,320.0,1600.0,-60.0
5,1.7149999999999854,1.7149999999999854,-7.751513522168665,-6.52393469003411,-1.2275788321345544,-7.74599035019632,-6.52393469003411,-1.222055660162198,0.5787226953323973,-44.15210720046502,1,285.7142857142857,320.0,1600.0,-37.71428571428571
6,1.7549999999999846,1.7549999999999846,-7.729758831580938,-8.248987619165394,0.519228787584467,-7.722713583843366,-8.248987619165394,0.5262740353220181,0.5844126769310433,-36.86381483532754,1,334.5,320.0,1600.0,15.950000000000001
7,1.7949999999999837,1.7949999999999837,-7.696133105912111,-9.393024269907494,1.6968911639953888,-7.699209183005868,-9.393024269907494,1.6938150869016226,0.5901043428971502,-11.447586333854678,1,367.4,320.0,1600.0,52.13999999999998
8,1.8349999999999829,1.8349999999999829,-7.678826900459427,-9.289846008401026,1.611019107941587,-7.675477080155922,-9.289846008401026,1.6143689282451135,0.5957977003213949,16.32029853024914,1,365.0,320.0,1600.0,49.50000000000001
9,1.874999999999982,1.874999999999982,-7.662676407519484,-8.289324008351887,0.6266476008323991,-7.651517207487542,-8.289324008351887,0.6378068008643538,0.6014927560239198,26.88261169534737,1,337.5,320.0,1600.0,19.25
10,1.9149999999999812,1.9149999999999812,-7.620090645545986,-7.279900952321341,-0.34018969322465864,-7.627329496927524,-7.279900952321341,-0.3474285446061742,0.607189516551377,16.709203533994497,1,310.5,320.0,1600.0,-10.450000000000001
11,1.9549999999999803,1.9549999999999803,-7.6002671613955215,-6.925879234941241,-0.6743879264542727,-7.6029138801464535,-6.925879234941241,-0.6770346452052252,0.6128879881739634,-1.266073455203335,1,301.1666666666667,320.0,1600.0,-20.716666666666647
12,1.9949999999999795,1.9949999999999795,-7.569351218926272,-7.25303398324602,-0.31631723568025905,-7.578270288569821,-7.25303398324602,-0.32523630532381276,0.6185881768824478,-12.77418459522002,1,311.1666666666667,320.0,1600.0,-9.716666666666647
13,2.034999999999979,2.034999999999979,-7.5496446603770835,-7.827168921990351,0.27752426161328003,-7.55339865338927,-7.827168921990351,0.27377026860108344,0.6242900883851887,-11.691981605950188,1,327.75,320.0,1600.0,8.525
14,2.074999999999978,2.074999999999978,-7.528407198535746,-8.155054799368166,0.6266476008324275,-7.528298905573937,-8.155054799368166,0.6267558937942397,0.6299937281051448,-2.172065108731332,1,337.5,320.0,1600.0,19.25
15,2.114999999999977,2.114999999999977,-7.499970847648484,-8.051425696841934,0.5514548491934477,-7.502970975881945,-8.051425696841934,0.5484547209599953,0.635699101176875,6.91420217813215,1,335.4,320.0,1600.0,16.939999999999976
16,2.1549999999999763,2.1549999999999763,-7.475891654319327,-7.676426063768949,0.20053440944963086,-7.477414794871993,-7.676426063768949,0.1990112688969532,0.6414062124435324,9.505632041017357,1,325.6,320.0,1600.0,6.160000000000026
17,2.1949999999999754,2.1949999999999754,-7.4533416939855215,-7.331588345784167,-0.12175334820136641,-7.4516302929150795,-7.331588345784167,-0.12004194713091465,0.6471150664538473,5.506630055974943,1,316.6,320.0,1600.0,-3.7399999999999753
18,2.2349999999999746,2.2349999999999746,-7.426594730674253,-7.221967816708397,-0.20462691396585342,-7.425617400206329,-7.221967816708397,-0.20364958349793483,0.6528256674591043,-0.666294702393795,1,314.2857142857143,320.0,1600.0,-6.285714285714295
19,2.2749999999999737,2.2749999999999737,-7.395566804636729,-7.33827104422222,-0.05729576041451878,-7.399376046776973,-7.33827104422222,-0.06110500255473994,0.658538019410109,-4.1738817412418685,1,318.4,320.0,1600.0,0.0
20,2.314999999999973,2.314999999999973,-7.37347843802263,-7.510749313794053,0.13727087577143493,-7.372906162506407,-7.510749313794053,0.13784315128765456,0.6642521259541478,-2.5770005489307164,1,323.8333333333333,320.0,1600.0,4.216666666666646
21,2.354999999999972,2.354999999999972,-7.3528294099913865,-7.549782876309315,0.19695346631792177,-7.346207677134414,-7.549782876309315,0.20357519917490663,0.6699679904319386,0.62970205148702,1,325.5,320.0,1600.0,6.050000000000001
22,2.394999999999971,2.394999999999971,-7.3187346149805705,-7.479878569970731,0.1611439549901661,-7.319280520273475,-7.479878569970731,0.16059804969725633,0.6756856158745735,2.5906593180938517,1,324.5,320.0,1600.0,4.95
23,2.4349999999999703,2.4349999999999703,-7.287403140948015,-7.3590228280374514,0.07161968708942368,-7.292124621421231,-7.3590228280374514,0.06689820661623003,0.6814050050004548,2.874483926655295,1,322.0,320.0,1600.0,-18.050211612717607
24,2.4749999999999694,2.4749999999999694,-7.265129123270299,-7.318843900827077,0.05371477755679166,-7.264739909973038,-7.318843900827077,0.05410399085403128,0.68712616021222,-5.964544847493528,1,321.5,320.0,1600.0,-18.050211612717607
25,2.5149999999999686,2.5149999999999686,-7.232082575743078,-7.751311363327537,0.519228787584467,-7.237126315234671,-7.751311363327537,0.5141850480928554,0.692849083593662,-12.09125871828192,1,334.5,320.0,1600.0,-18.050211612717607
26,2.5549999999999677,2.5549999999999677,-7.211405454649963,-8.249777761108344,1.0383723064583705,-7.2092837664351395,-8.249777761108344,1.0404939946731986,0.6985737769066399,-12.679208513064426,1,349.0,320.0,1600.0,-27.297980586543037
27,2.594999999999967,2.594999999999967,-7.183630602971164,-8.79464971091277,1.6110191079416154,-7.181212192739628,-8.79464971091277,1.6134375181731286,0.7043002415879809,-16.610487879583957,1,365.0,320.0,1600.0,-27.297980586543037
28,2.634999999999966,2.634999999999966,-7.14911321209388,-9.546973072401757,2.397859860307875,-7.152911523262556,-9.546973072401757,2.394061549139195,0.7100284787463772,-19.51209182425916,1,387.0,320.0,1600.0,-27.297980586543037
29,2.674999999999965,2.674999999999965,-7.123190855612677,-10.342685752465492,3.219494896852808,-7.124381687080774,-10.342685752465492,3.2183040653847286,0.7157584891592728,-20.1559327173041,1,410.0,320.0,1600.0,60.0
30,2.7149999999999643,2.7149999999999643,-7.088416984723182,-10.995854337430277,3.907437352707092,-7.095622613246875,-10.995854337430277,3.9002317241834135,0.7214902732697444,0.8084424370437979,1,429.2857142857143,320.0,1600.0,60.0
31,2.7549999999999635,2.7549999999999635,-7.072722256730003,-9.941080878689338,2.868358621959345,-7.066634230802627,-9.941080878689338,2.874446647886714,0.7272238311833735,35.69840395357882,1,400.1666666666667,320.0,1600.0,60.0
32,2.7949999999999626,2.7949999999999626,-7.034530219791208,-8.43083835475972,1.396308134968507,-7.03741646879255,-8.43083835475972,1.3934218859671716,0.7329591626651124,38.75524283040654,1,359.0,320.0,1600.0,20.315468897191607
33,2.8349999999999618,2.8349999999999618,-7.000439611725625,-6.964629754192681,-0.035809857532939304,-7.007969256277593,-6.964629754192681,-0.04333950208490478,0.7386962671361421,25.281584435565478,1,319.0,320.0,1600.0,20.315468897191607
34,2.874999999999961,2.874999999999961,-6.976335334288251,-6.260175388817853,-0.7161599454703946,-6.978292522348954,-6.260175388817853,-0.7181171335311092,0.7444351436707239,15.923298712308771,1,300.0,320.0,1600.0,20.315468897191607
35,2.91499999999996,2.91499999999996,-6.942312764861185,-5.623549104527924,-1.3187636603332749,-6.948386196142023,-5.623549104527924,-1.3248370916140857,0.7501757909930428,16.01856168965131,1,283.1666666666667,320.0,1600.0,-60.0
36,2.954999999999959,2.954999999999959,-6.915789331149,-5.131841229895792,-1.783948101253202,-6.9182502068504474,-5.131841229895792,-1.7864089769546467,0.7559182074740445,-3.9733533928576685,1,270.1666666666667,320.0,1600.0,-60.0
37,2.9949999999999584,2.9949999999999584,-6.88639598745533,-6.234684602972021,-0.6517113844833204,-6.887884483740328,-6.234684602972021,-0.6531998807683124,0.7616623911282667,-35.768818970402975,1,301.8,320.0,1600.0,-60.0
38,3.0349999999999575,3.0349999999999575,-6.863735714482772,-7.741008777048381,0.8772730625656209,-6.85728895616454,-7.741008777048381,0.8837198208838402,0.7674083396106626,-38.621146536637234,1,344.5,320.0,1600.0,-60.0
39,3.0749999999999567,3.0749999999999567,-6.824396425940307,-9.323532357636712,2.499135931696401,-6.82646355357718,-9.323532357636712,2.4970688040595235,0.7731560502134177,-40.2643866312323,1,389.8333333333333,320.0,1600.0,-60.0
40,3.114999999999956,3.114999999999956,-6.7917153686683776,-10.968088594273208,4.176373225604834,-6.795408205548145,-10.968088594273208,4.17268038872507,0.778905519862761,-41.75720096610445,1,436.8333333333333,320.0,1600.0,-60.0
41,3.154999999999955,3.154999999999955,-6.764235695246242,-12.669765934223205,5.905530238976951,-6.76412284177783,-12.669765934223205,5.905643092445388,0.7846567451157694,-43.13646111426252,1,485.5,320.0,1600.0,60.0
42,3.194999999999954,3.194999999999954,-6.732132157864925,-14.209462464525735,7.477330306660804,-6.732607392111969,-14.209462464525735,7.47685507241377,0.7904097221571669,-16.483115298348103,1,530.0,320.0,1600.0,60.0
43,3.2349999999999532,3.2349999999999532,-6.698459050539441,-13.488274324578537,6.789815274039086,-6.700861786556588,-13.488274324578537,6.787412538021954,0.7961644467961168,32.248827898023755,1,510.5,320.0,1600.0,60.0
44,3.2749999999999524,3.2749999999999524,-6.680988533455377,-12.07822494364645,5.397236410191084,-6.668885955293093,-12.07822494364645,5.409338988353369,0.8019209144630076,36.525833872613646,1,471.1666666666667,320.0,1600.0,60.0
45,3.3149999999999515,3.3149999999999515,-6.636058092976896,-10.574894556326973,3.9388364633500714,-6.636679828693487,-10.574894556326973,3.9382147276334933,0.8076791202062363,38.35803124467339,1,430.1666666666667,320.0,1600.0,60.0
46,3.3549999999999507,3.3549999999999507,-6.59521244992402,-9.003285713587367,2.40807326366334,-6.604243337335723,-9.003285713587367,2.399042376251657,0.8134390586889827,39.99578016208662,1,387.2857142857143,320.0,1600.0,60.0
47,3.39499999999995,3.39499999999995,-6.57529929007427,-7.3690337887574415,0.7937344986831647,-6.571576412019171,-7.3690337887574415,0.7974573767382651,0.8192007241859802,41.508233237294064,1,342.1666666666667,320.0,1600.0,44.3041056246556
48,3.434999999999949,3.434999999999949,-6.5425940998928525,-5.724991080184193,-0.8176030197086561,-6.53867898378022,-5.724991080184193,-0.8136879035960192,0.824964110580281,36.92924624168791,1,297.1666666666667,320.0,1600.0,44.3041056246556
49,3.474999999999948,3.474999999999948,-6.5066569632253675,-4.35311162898107,-2.153545334244285,-6.505550983908021,-4.35311162898107,-2.1524393549269405,0.8307292113600173,33.93362831593832,1,259.8333333333333,320.0,1600.0,44.3041056246556
50,3.5149999999999473,3.5149999999999473,-6.48007494062594,-2.981033170773215,-3.499041769852738,-6.472192343960342,-2.981033170773215,-3.4911591731871283,0.8364960196151566,34.62401573713128,1,222.16666666666666,320.0,1600.0,-60.0
51,3.5549999999999464,3.5549999999999464,-6.437934577764338,-1.7750690953399602,-4.662865482424365,-6.438602995779564,-1.7750690953399602,-4.663533900439603,0.8422645280342527,9.925119238801457,1,189.5,320.0,1600.0,-60.0
52,3.5949999999999456,3.5949999999999456,-6.4002243703695285,-2.5980335040595346,-3.802190866309985,-6.4047828715088055,-2.5980335040595346,-3.806749367449271,0.8480347289011929,-31.916434925379228,1,213.66666666666666,320.0,1600.0,-60.0
