idx,ts,truth_ts,obs_target_yaw_deg,obs_gimbal_yaw_deg,obs_err_yaw_deg,truth_target_yaw_deg,truth_gimbal_yaw_deg,truth_err_yaw_deg,target_yaw_rate_dps,gimbal_yaw_rate_dps,detected,u_px,cx_px,f_px,yaw_rate_cmd_dps
0,1.5149999999999897,1.5149999999999897,-6.393526687672278,0.0,-6.393526687672278,-6.397568462459628,0.0,-6.397568462459617,1.4146099889427874,0.0,1,140.71428571428572,320.0,1600.0,-60.0
1,1.5549999999999888,1.5549999999999888,-6.33908601118992,-0.12244897959183676,-6.216637031598083,-6.340977814857468,-0.12244897959183676,-6.21852883526563,1.4149219483097124,-15.918367346938778,1,145.71428571428572,320.0,1600.0,-60.0
2,1.594999999999988,1.594999999999988,-6.287361938404928,-1.4644538819397588,-4.822908056465167,-6.284374742047293,-1.4644538819397588,-4.819920860107544,1.4152312487449152,-39.210380836560816,1,185.0,320.0,1600.0,-60.0
3,1.6349999999999871,1.6349999999999871,-6.220548271088177,-3.090303408869074,-3.130244862219115,-6.227759350458025,-3.090303408869074,-3.1374559415889394,1.4155378866703359,-41.434614534640865,1,232.5,320.0,1600.0,-60.0
4,1.6749999999999863,1.6749999999999863,-6.170546164120935,-4.780202810722703,-1.3903433533982366,-6.171131746661143,-4.780202810722703,-1.3909289359384331,1.4158418585363794,-42.855444722546814,1,281.1666666666667,320.0,1600.0,-14.304622589180372
5,1.7149999999999854,1.7149999999999854,-6.115318598704164,-6.383890598103182,0.268571999399029,-6.114492037369539,-6.383890598103182,0.26939856073363444,1.4161431608220172,-26.751144284648433,1,327.5,320.0,1600.0,60.0
6,1.7549999999999846,1.7549999999999846,-6.054596765878983,-6.937836730196128,0.8832399643171414,-6.057840329436371,-6.937836730196128,0.8799964007597509,1.4164417900348865,4.2126976546545905,1,344.6666666666667,320.0,1600.0,60.0
7,1.7949999999999837,1.7949999999999837,-5.998687745792523,-5.882305853719384,-0.11638189207315008,-6.001176729853919,-5.882305853719384,-0.11887087613453673,1.416737742711391,33.457373464360764,1,316.75,320.0,1600.0,60.0
8,1.8349999999999829,1.8349999999999829,-5.93932523940984,-4.471442123709308,-1.4678831157005447,-5.944501345752427,-4.471442123709308,-1.473059222043105,1.4170310154167987,36.27424922560506,1,279.0,320.0,1600.0,60.0
9,1.874999999999982,1.874999999999982,-5.894923894599145,-2.9789403481354357,-2.915983546463707,-5.887814284398952,-2.9789403481354357,-2.908873936263518,1.4173216047453416,38.08938428588955,1,238.5,320.0,1600.0,35.26152745090539
10,1.9149999999999812,1.9149999999999812,-5.8360274410587465,-1.493463524493258,-4.342563916565496,-5.8311156531962,-1.493463524493258,-4.337652128702928,1.4176095073203114,30.325994249183797,1,198.5,320.0,1600.0,-20.213326398270468
11,1.9549999999999803,1.9549999999999803,-5.7822328534888925,-0.6217077252164867,-5.160525128272411,-5.7744055596813615,-0.6217077252164867,-5.152697834464874,1.4178947197941572,4.449910437865842,1,175.5,320.0,1600.0,-60.0
