idx,ts,truth_ts,obs_target_yaw_deg,obs_gimbal_yaw_deg,obs_err_yaw_deg,truth_target_yaw_deg,truth_gimbal_yaw_deg,truth_err_yaw_deg,target_yaw_rate_dps,gimbal_yaw_rate_dps,detected,u_px,cx_px,f_px,yaw_rate_cmd_dps
0,1.5149999999999897,1.5149999999999897,8.069096967363492,0.0,8.069096967363492,8.068458233394185,0.0,8.068458233394182,-3.4608425121432544,0.0,1,546.8333333333334,320.0,1600.0,60.0
1,1.5549999999999888,1.5549999999999888,7.925164778072741,0.12244897959183676,7.802715798480904,7.919972002152657,0.12244897959183676,7.797523022560824,-3.9620794110758917,15.918367346938778,1,539.25,320.0,1600.0,60.0
2,1.594999999999988,1.594999999999988,7.7559046839554355,1.4644538819397588,6.2914508020156745,7.7516109133195865,1.4644538819397588,6.28715703137982,-4.454388805920538,39.210380836560816,1,496.4,320.0,1600.0,60.0
3,1.6349999999999871,1.6349999999999871,7.567631649734722,3.090303408869074,4.47732824086566,7.563755663329532,3.090303408869074,4.4734522544604545,-4.936590781956451,41.434614534640865,1,445.2857142857143,320.0,1600.0,60.0
4,1.6749999999999863,1.6749999999999863,7.356774640991546,4.780202810722703,2.576571830268847,7.356834146649971,4.780202810722703,2.57663133592726,-5.407505637460971,42.855444722546814,1,392.0,320.0,1600.0,48.481729709409485
5,1.7149999999999854,1.7149999999999854,7.133184605317297,6.4886342768444205,0.6445503284728886,7.131321409422046,6.4886342768444205,0.6426871325776347,-5.86595586689163,39.76590873712854,1,338.0,320.0,1600.0,-43.155909945472274
6,1.7549999999999846,1.7549999999999846,6.890923828541588,7.807578084926871,-0.9166542563852715,6.8877395126838,7.807578084926871,-0.9198385722430658,-6.310768701787517,11.792546560900764,1,294.4,320.0,1600.0,-60.0
7,1.7949999999999837,1.7949999999999837,6.631985483901133,7.190601633453141,-0.5586161495519946,6.6266572825644925,7.190601633453141,-0.5639443508886473,-6.740779222428661,-27.810533577374677,1,304.4,320.0,1600.0,-60.0
8,1.8349999999999829,1.8349999999999829,6.348313275762848,5.868472340911981,0.47984093485086987,6.348689924574909,5.868472340911981,0.48021758366292033,-7.154834040238973,-34.89193999022646,1,333.4,320.0,1600.0,-60.0
9,1.874999999999982,1.874999999999982,6.054435116431648,4.4255253869770526,1.6289097294545911,6.05449847939463,4.4255253869770526,1.6289730924175672,-7.551795537023027,-36.91275125880738,1,365.5,320.0,1600.0,-60.0
