idx,ts,truth_ts,obs_target_yaw_deg,obs_gimbal_yaw_deg,obs_err_yaw_deg,truth_target_yaw_deg,truth_gimbal_yaw_deg,truth_err_yaw_deg,target_yaw_rate_dps,gimbal_yaw_rate_dps,detected,u_px,cx_px,f_px,yaw_rate_cmd_dps
0,1.5149999999999897,1.5149999999999897,8.069096967363492,0.0,8.069096967363492,8.068458233394185,0.0,8.068458233394182,-3.4608425121432544,0.0,1,546.8333333333334,320.0,1600.0,60.0
1,1.5549999999999888,1.5549999999999888,7.925164778072741,0.12244897959183676,7.802715798480904,7.919972002152657,0.12244897959183676,7.797523022560824,-3.9620794110758917,15.918367346938778,1,539.25,320.0,1600.0,60.0
2,1.594999999999988,1.594999999999988,7.7559046839554355,1.4644538819397588,6.2914508020156745,7.7516109133195865,1.4644538819397588,6.28715703137982,-4.454388805920538,39.210380836560816,1,496.4,320.0,1600.0,60.0
3,1.6349999999999871,1.6349999999999871,7.567631649734722,3.090303408869074,4.47732824086566,7.563755663329532,3.090303408869074,4.4734522544604545,-4.936590781956451,41.434614534640865,1,445.2857142857143,320.0,1600.0,60.0
4,1.6749999999999863,1.6749999999999863,7.356774640991546,4.780202810722703,2.576571830268847,7.356834146649971,4.780202810722703,2.57663133592726,-5.407505637460971,42.855444722546814,1,392.0,320.0,1600.0,60.0
5,1.7149999999999854,1.7149999999999854,7.132679440858368,6.52393469003411,0.6087447508242576,7.131321409422046,6.52393469003411,0.6073867193879323,-5.86595586689163,44.15210720046502,1,337.0,320.0,1600.0,18.700000000000003
6,1.7549999999999846,1.7549999999999846,6.883880621411208,8.190713926563351,-1.3068333051521392,6.8877395126838,8.190713926563351,-1.3029744138795536,-6.310768701787517,29.62310692716428,1,283.5,320.0,1600.0,-40.150000000000006
7,1.7949999999999837,1.7949999999999837,6.631912169905945,8.88676866683138,-2.2548564969254414,6.6266572825644925,8.88676866683138,-2.260111384266878,-6.740779222428661,-1.3244398752900786,1,257.0,320.0,1600.0,-60.0
8,1.8349999999999829,1.8349999999999829,6.343224465009968,8.204682095476688,-1.861457630466731,6.348689924574909,8.204682095476688,-1.8559921709017715,-7.154834040238973,-26.92157147864514,1,268.0,320.0,1600.0,-57.2
9,1.874999999999982,1.874999999999982,6.051722177093069,6.917061379193088,-0.8653392021000172,6.05449847939463,6.917061379193088,-0.862562899798462,-7.551795537023027,-33.24793356990498,1,295.8333333333333,320.0,1600.0,-26.583333333333357
